3	56	0	-1	1	-3	0	-2	-1	-2	0	-3	-1	-2	0	0	-2	-7	-249
3	56	1	-1	1	-4	-1	-1	1	0	-1	-2	-2	1	-2	0	-2	-5	-258
3	56	2	-3	0	-1	-1	-1	0	0	0	2	-2	-2	0	-3	-2	-5	-264
3	56	3	-1	-3	-3	-1	0	0	0	1	0	-1	-1	-1	-4	-2	-5	-259
3	56	4	-1	-2	0	-1	-1	0	1	-2	-4	-2	-1	-2	0	0	-5	-230
3	56	5	0	0	0	-1	-2	-3	0	0	0	-3	-3	-2	-3	-2	-6	-238
3	56	6	0	-3	-3	-2	-1	-1	0	1	0	-2	0	-2	1	1	-4	-250
3	56	7	-3	-2	-3	0	-3	-1	-1	1	-1	0	1	0	0	0	-6	-241
3	56	8	-3	0	-1	-2	-1	-3	-4	-3	-2	-1	-1	-1	-2	-1	-4	-253
3	56	9	0	-2	-1	0	-2	-1	-2	-2	-2	-2	-2	0	-1	0	-5	-242
3	56	10	-5	-2	-1	-2	0	0	1	2	1	0	2	2	0	0	-4	-253
3	56	11	-2	-1	-2	1	1	-1	0	0	1	1	-1	1	0	0	-4	-251
3	56	12	0	0	-3	-2	-4	-1	-2	-1	-2	-3	-2	-1	-3	-1	-5	-243
3	56	13	0	0	0	-1	-2	-2	-2	0	-1	-4	0	0	-1	1	-5	-231
3	56	14	-3	-1	0	-1	-3	0	0	2	1	0	-2	0	-2	-1	-5	-246
3	56	15	-3	-1	-2	-2	0	1	0	-1	1	0	1	0	-3	-2	-5	-237
3	56	16	-3	-1	0	-1	-2	-1	-2	-1	-1	0	0	-3	0	-2	-5	-249
3	56	17	0	-1	-1	0	-1	-3	-1	0	-4	-1	-1	-3	-2	-2	-5	-243
3	56	18	-1	-1	-1	-2	1	-2	-1	0	0	-2	1	-1	0	-1	-5	-249
3	56	19	-2	0	-2	0	-2	0	0	1	1	-2	-1	-2	1	-1	-5	-238
3	56	20	-3	-1	-2	-3	-1	-1	-2	-3	-1	-2	0	0	-1	1	-4	-243
3	56	21	0	1	-4	-3	-1	-1	-1	0	-2	-2	-2	-1	-1	0	-5	-244
3	56	22	0	-1	-1	0	0	1	3	1	-1	0	1	1	-1	0	-7	-243
3	56	23	-1	-1	-3	-3	-2	0	-1	0	1	0	-2	-1	-1	-3	-6	-252
3	56	24	-2	-2	-1	0	0	-1	-1	-3	0	-2	-1	0	1	0	-6	-255
